season,team,low_sample_pct,matches_played,matches_won,win_pct
2022,Kolkata Knight Riders,10.457516339869281,14,6,42.857142857142854
2022,Lucknow Super Giants,4.375,15,9,60.0
2022,Mumbai Indians,8.441558441558442,14,4,28.571428571428573
2022,Punjab Kings,3.9735099337748343,14,7,50.0
2022,Rajasthan Royals,6.521739130434782,17,10,58.8235294117647
2022,Royal Challengers Bengaluru,8.620689655172415,16,9,56.25
2022,Sunrisers Hyderabad,11.486486486486486,14,6,42.857142857142854
2023,Chennai Super Kings,10.857142857142858,15,10,66.66666666666667
2023,Delhi Capitals,12.883435582822086,14,5,35.714285714285715
2023,Gujarat Titans,8.152173913043478,17,11,64.70588235294117
2023,Kolkata Knight Riders,10.714285714285714,14,6,42.857142857142854
2023,Lucknow Super Giants,6.936416184971098,14,8,57.142857142857146
2023,Mumbai Indians,5.978260869565218,16,9,56.25
2023,Punjab Kings,6.097560975609756,14,6,42.857142857142854
2023,Rajasthan Royals,7.361963190184049,14,7,50.0
2023,Royal Challengers Bengaluru,12.738853503184714,14,7,50.0
2023,Sunrisers Hyderabad,10.365853658536585,14,4,28.571428571428573
2024,Chennai Super Kings,6.875,14,7,50.0
2024,Delhi Capitals,11.585365853658537,14,7,50.0
2024,Gujarat Titans,8.571428571428571,12,5,41.666666666666664
2024,Kolkata Knight Riders,7.189542483660131,14,11,78.57142857142857
2024,Lucknow Super Giants,14.110429447852761,14,7,50.0
2024,Mumbai Indians,7.878787878787879,14,4,28.571428571428573
2024,Punjab Kings,6.097560975609756,14,5,35.714285714285715
2024,Rajasthan Royals,6.470588235294118,15,9,60.0
2024,Royal Challengers Bengaluru,5.142857142857143,15,7,46.666666666666664
2024,Sunrisers Hyderabad,6.521739130434782,16,9,56.25
2025,Chennai Super Kings,12.121212121212121,14,4,28.571428571428573
2025,Delhi Capitals,7.361963190184049,13,7,53.84615384615385
2025,Gujarat Titans,8.823529411764707,15,9,60.0
2025,Kolkata Knight Riders,12.23021582733813,12,5,41.666666666666664
2025,Lucknow Super Giants,4.938271604938271,14,6,42.857142857142854
2025,Mumbai Indians,7.142857142857143,16,9,56.25
2025,Punjab Kings,4.102564102564102,16,10,62.5
2025,Rajasthan Royals,4.294478527607362,14,4,28.571428571428573
2025,Royal Challengers Bengaluru,4.705882352941177,15,11,73.33333333333333
2025,Sunrisers Hyderabad,3.1645569620253164,13,6,46.15384615384615
