season,player,season_runs_conceded,season_balls,season_economy,streak_runs_conceded,streak_balls,streak_economy,economy_delta
2014,PP Ojha,380,276,8.26086956521739,138,90,9.2,0.9391304347826086
2014,PV Tambe,356,294,7.26530612244898,356,294,7.26530612244898,0.0
2014,Parvez Rasool,83,54,9.222222222222221,57,30,11.4,2.177777777777779
2014,R Ashwin,437,359,7.303621169916434,393,323,7.30030959752322,-0.003311572393214668
2014,R Bhatia,283,228,7.447368421052632,283,228,7.447368421052632,0.0
2014,R Dhawan,365,284,7.711267605633802,365,284,7.711267605633802,0.0
2014,R Rampaul,37,36,6.166666666666667,16,24,4.0,-2.166666666666667
2014,R Sharma,65,36,10.833333333333334,65,36,10.833333333333334,0.0
2014,R Tewatia,59,54,6.555555555555555,59,54,6.555555555555555,0.0
2014,R Vinay Kumar,281,192,8.78125,281,192,8.78125,0.0
2014,RA Jadeja,443,326,8.153374233128835,382,286,8.013986013986015,-0.13938821914281974
2014,RN ten Doeschate,35,30,7.0,35,30,7.0,0.0
2014,S Badree,97,84,6.928571428571429,97,84,6.928571428571429,0.0
2014,S Gopal,113,84,8.071428571428571,36,18,12.0,3.928571428571429
2014,S Kaul,126,78,9.692307692307692,29,18,9.666666666666666,-0.02564102564102555
2014,S Nadeem,311,228,8.18421052631579,205,144,8.541666666666666,0.3574561403508767
2014,SK Raina,134,108,7.444444444444445,134,108,7.444444444444445,0.0
2014,SL Malinga,258,235,6.587234042553192,52,45,6.933333333333334,0.3460992907801419
2014,SP Narine,407,384,6.359375,407,384,6.359375,0.0
2014,SR Watson,165,126,7.857142857142857,165,126,7.857142857142857,0.0
2014,STR Binny,64,54,7.111111111111111,64,54,7.111111111111111,0.0
2014,Sandeep Sharma,354,241,8.813278008298756,354,241,8.813278008298756,0.0
2014,Shakib Al Hasan,334,300,6.68,334,300,6.68,0.0
2014,Shivam Sharma,121,96,7.5625,121,96,7.5625,0.0
2014,TG Southee,76,60,7.6,76,60,7.6,0.0
2014,UT Yadav,367,270,8.155555555555555,367,270,8.155555555555555,0.0
2014,VR Aaron,299,220,8.154545454545454,258,203,7.625615763546797,-0.5289296909986572
2014,WD Parnell,223,181,7.392265193370165,138,114,7.2631578947368425,-0.12910729863332282
2014,YS Chahal,386,330,7.0181818181818185,293,258,6.813953488372093,-0.20422832980972583
2014,Yuvraj Singh,187,136,8.25,94,64,8.8125,0.5625
2014,Z Khan,146,134,6.537313432835822,44,48,5.5,-1.0373134328358216
2015,A Ashish Reddy,50,36,8.333333333333334,20,18,6.666666666666667,-1.666666666666667
2015,A Mishra,310,241,7.717842323651452,222,175,7.611428571428571,-0.10641375222288119
2015,A Nehra,449,372,7.241935483870968,449,372,7.241935483870968,0.0
2015,AB Dinda,62,30,12.4,62,30,12.4,0.0
