season,team,streak_start_date,streak_end_date,streak_length
2020,Rajasthan Royals,2020-09-22,2020-10-06,5
2020,Rajasthan Royals,2020-10-14,2020-10-22,4
2020,Royal Challengers Bengaluru,2020-09-21,2020-11-06,15
2020,Sunrisers Hyderabad,2020-10-04,2020-10-18,5
2020,Sunrisers Hyderabad,2020-11-03,2020-11-08,3
2021,Chennai Super Kings,2021-04-19,2021-10-15,14
2021,Delhi Capitals,2021-04-10,2021-10-13,16
2021,Kolkata Knight Riders,2021-04-11,2021-04-21,4
2021,Kolkata Knight Riders,2021-09-26,2021-10-15,8
2021,Mumbai Indians,2021-04-09,2021-10-08,14
2021,Punjab Kings,2021-04-12,2021-09-21,9
2021,Rajasthan Royals,2021-04-19,2021-04-22,2
2021,Rajasthan Royals,2021-09-21,2021-09-27,3
2021,Royal Challengers Bengaluru,2021-04-09,2021-10-11,15
2022,Delhi Capitals,2022-03-27,2022-04-02,2
2022,Delhi Capitals,2022-05-08,2022-05-21,4
2022,Gujarat Titans,2022-03-28,2022-05-29,16
2022,Kolkata Knight Riders,2022-03-26,2022-04-18,7
2022,Lucknow Super Giants,2022-04-04,2022-05-25,13
2022,Punjab Kings,2022-03-27,2022-04-08,4
2022,Rajasthan Royals,2022-03-29,2022-05-29,17
2022,Royal Challengers Bengaluru,2022-04-09,2022-05-27,13
2022,Sunrisers Hyderabad,2022-04-17,2022-05-08,6
2023,Chennai Super Kings,2023-04-08,2023-05-29,14
2023,Gujarat Titans,2023-03-31,2023-05-29,17
2023,Kolkata Knight Riders,2023-04-14,2023-04-16,2
2023,Lucknow Super Giants,2023-04-01,2023-05-24,15
2023,Mumbai Indians,2023-05-06,2023-05-26,7
2023,Punjab Kings,2023-04-01,2023-05-08,11
2023,Rajasthan Royals,2023-04-02,2023-05-14,13
2023,Royal Challengers Bengaluru,2023-04-02,2023-04-06,2
2023,Royal Challengers Bengaluru,2023-05-06,2023-05-09,2
2023,Royal Challengers Bengaluru,2023-05-18,2023-05-21,2
2024,Chennai Super Kings,2024-03-22,2024-04-23,8
2024,Chennai Super Kings,2024-05-01,2024-05-18,5
2024,Delhi Capitals,2024-04-27,2024-04-29,2
2024,Delhi Capitals,2024-05-12,2024-05-14,2
2024,Gujarat Titans,2024-03-24,2024-04-07,5
2024,Kolkata Knight Riders,2024-03-23,2024-05-26,14
2024,Lucknow Super Giants,2024-04-02,2024-05-14,11
2024,Punjab Kings,2024-03-23,2024-03-30,3
2024,Rajasthan Royals,2024-03-24,2024-05-24,15
2024,Royal Challengers Bengaluru,2024-03-29,2024-04-02,2
2024,Sunrisers Hyderabad,2024-04-09,2024-05-26,12
2025,Chennai Super Kings,2025-03-23,2025-03-30,3
2025,Delhi Capitals,2025-03-24,2025-05-24,15
2025,Gujarat Titans,2025-04-02,2025-05-30,13
2025,Kolkata Knight Riders,2025-03-31,2025-04-08,3
2025,Lucknow Super Giants,2025-04-08,2025-04-27,6
2025,Mumbai Indians,2025-04-27,2025-06-01,7
2025,Punjab Kings,2025-03-25,2025-06-03,18
2025,Royal Challengers Bengaluru,2025-03-22,2025-06-03,15
2025,Sunrisers Hyderabad,2025-03-23,2025-04-03,4
