player,archetype,old_team,season_before,score_before,new_team,season_after,score_after,delta,league_std,team_archetype_mean,classification,moved_toward_new_team_mean
CR Brathwaite,Death Specialist,Sunrisers Hyderabad,2018,-0.13888289394089395,Kolkata Knight Riders,2019,2.4891732487593305,2.6280561427002245,1.0948862151118541,1.0272922722614142,Adaptable,False
CR Woakes,Middle-Over Squeezer,Kolkata Knight Riders,2017,0.6065238387208132,Royal Challengers Bengaluru,2018,-0.29844649003829704,-0.9049703287591102,1.4113279201609845,0.3829245415099962,Stable,False
CR Woakes,Middle-Over Squeezer,Royal Challengers Bengaluru,2018,-0.29844649003829704,Delhi Capitals,2021,4.048638818381241,4.347085308419539,1.2174283949400617,1.1750569479653874,Adaptable,False
D Brevis,Anchor,Mumbai Indians,2024,1.1705368292692886,Chennai Super Kings,2025,2.370310225887533,1.1997733966182444,0.8208687618887055,1.7112819377831114,Adaptable,False
D Padikkal,Powerplay Aggressor,Rajasthan Royals,2023,0.5104936119138391,Lucknow Super Giants,2024,-0.5003476746671665,-1.0108412865810057,0.9372180975229045,0.6469229788132028,Adaptable,False
D Wiese,Death Specialist,Royal Challengers Bengaluru,2016,-0.6385306036640319,Kolkata Knight Riders,2023,2.2868378992581984,2.9253685029222303,0.9939108606197922,0.1367850796582583,Adaptable,False
DA Miller,Anchor,Gujarat Titans,2024,1.0624184924112108,Lucknow Super Giants,2025,0.3419903863732638,-0.7204281060379469,0.8208687618887055,0.9308212788365801,Stable,False
DJ Bravo,Middle-Over Squeezer,Gujarat Lions,2016,0.5653500874589387,Chennai Super Kings,2018,0.2753619400019904,-0.2899881474569483,1.4113279201609845,0.8213361190925648,Stable,False
DJ Hooda,Death Specialist,Rajasthan Royals,2015,-0.11651284762875547,Sunrisers Hyderabad,2016,-0.019633184989554957,0.0968796626392005,1.0293195393612475,0.41858853368800714,Stable,True
DJ Hooda,Death Specialist,Lucknow Super Giants,2024,1.4745716861240914,Chennai Super Kings,2025,-0.8056328008618059,-2.2802044869858973,1.1237425393337022,0.7070262304935193,Adaptable,False
DJ Hussey,Anchor,Punjab Kings,2013,1.6138377693697679,Chennai Super Kings,2014,3.1905355476457693,1.5766977782760014,0.7233391811102918,1.6602652511769946,Adaptable,False
DJ Mitchell,Anchor,Rajasthan Royals,2022,2.831824071286841,Chennai Super Kings,2024,0.43443963945162223,-2.397384431835219,0.8222307183833092,1.1803751487479743,Adaptable,True
DL Chahar,Middle-Over Squeezer,Chennai Super Kings,2024,0.06660887671102089,Mumbai Indians,2025,-0.10115798517337254,-0.16776686188439344,1.200295880613949,0.5696536636328268,Stable,False
DP Nannes,Death Specialist,Delhi Capitals,2010,0.41887659146321127,Royal Challengers Bengaluru,2011,1.1216582905384593,0.702781699075248,1.1903010835643815,0.24523483823753522,Stable,False
DR Smith,Powerplay Aggressor,Chennai Super Kings,2015,0.362128263194091,Gujarat Lions,2016,0.8723890097151833,0.5102607465210922,0.9056031481890515,0.2286491788867154,Stable,False
DS Kulkarni,Death Specialist,Rajasthan Royals,2015,-0.0364170265961279,Gujarat Lions,2016,0.17364507790616632,0.21006210450229423,1.0293195393612475,0.8203575535608533,Stable,True
DS Kulkarni,Death Specialist,Gujarat Lions,2017,-0.22780246610143015,Rajasthan Royals,2018,1.317697035850632,1.545499501952062,1.2677842702626976,0.8819233633043585,Adaptable,True
DS Kulkarni,Death Specialist,Rajasthan Royals,2019,-1.304975349643582,Mumbai Indians,2020,2.625620700231399,3.930596049874981,1.1685464989120908,0.8726555682749075,Adaptable,True
DT Christian,Middle-Over Squeezer,Deccan Chargers,2012,0.6299546019870222,Royal Challengers Bengaluru,2013,1.5136873241513633,0.8837327221643411,1.4610915065970356,0.4244066270132833,Stable,False
DT Christian,Middle-Over Squeezer,Royal Challengers Bengaluru,2013,1.5136873241513633,Rising Pune Supergiant,2017,0.4052843794927394,-1.1084029446586239,1.2910329372059233,1.2124480442272931,Stable,False
DT Christian,Middle-Over Squeezer,Rising Pune Supergiant,2017,0.4052843794927394,Delhi Capitals,2018,1.1991304564954202,0.7938460770026807,1.4113279201609845,0.9571620251228247,Stable,True
DW Steyn,Middle-Over Squeezer,Royal Challengers Bengaluru,2010,0.7389302756090523,Deccan Chargers,2011,1.0212335719454926,0.28230329633644025,1.4532054773986787,0.4189051809161545,Stable,False
DW Steyn,Middle-Over Squeezer,Deccan Chargers,2012,1.7894417529004696,Sunrisers Hyderabad,2013,0.9941813656789633,-0.7952603872215063,1.4610915065970356,0.5693417305320002,Stable,True
DW Steyn,Middle-Over Squeezer,Gujarat Lions,2016,3.637713012619895,Royal Challengers Bengaluru,2019,4.274517468199094,0.636804455579199,1.2196324318120157,1.629919098161248,Stable,False
E Lewis,Powerplay Aggressor,Mumbai Indians,2019,-0.02291442262405796,Rajasthan Royals,2021,1.311456014070378,1.3343704366944358,1.0432296969890416,0.20184155826448308,Adaptable,False
EJG Morgan,Anchor,Sunrisers Hyderabad,2016,0.500882985489468,Punjab Kings,2017,-0.00607456846641341,-0.5069575539558814,0.9550964636345142,0.9192600901284091,Stable,False
EJG Morgan,Anchor,Punjab Kings,2017,-0.00607456846641341,Kolkata Knight Riders,2020,1.3250801712688371,1.3311547397352506,0.5227084250317967,1.4315210701807464,Adaptable,True
F du Plessis,Death Specialist,Chennai Super Kings,2021,0.7768388647240777,Royal Challengers Bengaluru,2022,0.4828417473666808,-0.2939971173573969,1.1629921003502353,1.5171567286586776,Stable,False
F du Plessis,Powerplay Aggressor,Royal Challengers Bengaluru,2024,0.743597100957642,Delhi Capitals,2025,0.10186633003563889,-0.641730770922003,1.045410959606985,-0.284987963031658,Stable,True
FA Allen,Death Specialist,Punjab Kings,2021,1.97100194439268,Mumbai Indians,2022,2.5073370722081756,0.5363351278154955,1.1629921003502353,1.004716277276404,Stable,False
