season,player,team,tenure_years
2013,AN Ahmed,Mumbai Indians,4
2014,AN Ahmed,Royal Challengers Bengaluru,1
2015,AN Ahmed,Royal Challengers Bengaluru,2
2009,AN Ghosh,Kolkata Knight Riders,1
2010,AP Dole,Rajasthan Royals,1
2012,AP Majumdar,Pune Warriors,1
2010,AP Tare,Mumbai Indians,1
2013,AP Tare,Mumbai Indians,1
2014,AP Tare,Mumbai Indians,2
2015,AP Tare,Mumbai Indians,3
2016,AP Tare,Sunrisers Hyderabad,1
2017,AP Tare,Delhi Capitals,1
2017,AR Bawne,Delhi Capitals,1
2014,AR Patel,Punjab Kings,1
2015,AR Patel,Punjab Kings,2
2016,AR Patel,Punjab Kings,3
2017,AR Patel,Punjab Kings,4
2018,AR Patel,Punjab Kings,5
2019,AR Patel,Delhi Capitals,1
2020,AR Patel,Delhi Capitals,2
2021,AR Patel,Delhi Capitals,3
2022,AR Patel,Delhi Capitals,4
2023,AR Patel,Delhi Capitals,5
2024,AR Patel,Delhi Capitals,6
2025,AR Patel,Delhi Capitals,7
2019,AS Joseph,Mumbai Indians,1
2022,AS Joseph,Gujarat Titans,1
2023,AS Joseph,Gujarat Titans,2
2024,AS Joseph,Royal Challengers Bengaluru,1
2013,AS Rajpoot,Chennai Super Kings,1
2016,AS Rajpoot,Kolkata Knight Riders,1
2017,AS Rajpoot,Kolkata Knight Riders,2
2018,AS Rajpoot,Punjab Kings,1
2019,AS Rajpoot,Punjab Kings,2
2020,AS Rajpoot,Rajasthan Royals,1
2009,AS Raut,Rajasthan Royals,1
2010,AS Raut,Rajasthan Royals,2
2011,AS Raut,Rajasthan Royals,3
2019,AS Roy,Mumbai Indians,1
2022,AS Roy,Kolkata Knight Riders,1
2023,AS Roy,Kolkata Knight Riders,2
2024,AS Roy,Kolkata Knight Riders,3
2025,AS Roy,Kolkata Knight Riders,4
2008,AS Yadav,Deccan Chargers,1
2020,AT Carey,Delhi Capitals,1
2010,AT Rayudu,Mumbai Indians,1
2011,AT Rayudu,Mumbai Indians,2
2012,AT Rayudu,Mumbai Indians,3
2013,AT Rayudu,Mumbai Indians,4
2014,AT Rayudu,Mumbai Indians,5
2015,AT Rayudu,Mumbai Indians,6
2016,AT Rayudu,Mumbai Indians,7
2017,AT Rayudu,Mumbai Indians,8
2018,AT Rayudu,Chennai Super Kings,1
2019,AT Rayudu,Chennai Super Kings,2
2020,AT Rayudu,Chennai Super Kings,3
2021,AT Rayudu,Chennai Super Kings,4
2022,AT Rayudu,Chennai Super Kings,5
2023,AT Rayudu,Chennai Super Kings,6
2021,AU Rashid,Punjab Kings,1
2023,AU Rashid,Sunrisers Hyderabad,1
2011,AUK Pathan,Royal Challengers Bengaluru,1
2012,AUK Pathan,Royal Challengers Bengaluru,2
2023,Abdul Basith,Rajasthan Royals,1
2020,Abdul Samad,Sunrisers Hyderabad,1
2021,Abdul Samad,Sunrisers Hyderabad,2
2022,Abdul Samad,Sunrisers Hyderabad,3
2023,Abdul Samad,Sunrisers Hyderabad,4
2024,Abdul Samad,Sunrisers Hyderabad,5
2025,Abdul Samad,Lucknow Super Giants,1
