season,team,Anchor,Death Specialist,Middle-Over Squeezer,Powerplay Aggressor
2013,Sunrisers Hyderabad,20.108695652173914,21.195652173913043,48.369565217391305,10.326086956521738
2014,Chennai Super Kings,30.061349693251532,15.950920245398773,36.809815950920246,17.177914110429448
2014,Delhi Capitals,26.143790849673202,26.143790849673202,28.758169934640524,18.954248366013072
2014,Kolkata Knight Riders,20.481927710843372,33.13253012048193,28.91566265060241,17.46987951807229
2014,Mumbai Indians,30.434782608695652,8.074534161490684,31.677018633540374,29.81366459627329
2014,Punjab Kings,9.89010989010989,20.32967032967033,45.604395604395606,24.175824175824175
2014,Rajasthan Royals,14.18918918918919,38.513513513513516,27.027027027027028,20.27027027027027
2014,Royal Challengers Bengaluru,18.666666666666668,46.666666666666664,18.0,16.666666666666668
2014,Sunrisers Hyderabad,21.333333333333332,46.0,9.333333333333334,23.333333333333332
2015,Chennai Super Kings,26.630434782608695,28.26086956521739,28.804347826086957,16.304347826086957
2015,Delhi Capitals,32.87671232876713,18.493150684931507,39.04109589041096,9.58904109589041
2015,Kolkata Knight Riders,9.21985815602837,25.53191489361702,29.078014184397162,36.170212765957444
2015,Mumbai Indians,27.906976744186046,45.348837209302324,15.69767441860465,11.046511627906977
2015,Punjab Kings,8.49673202614379,23.529411764705884,31.372549019607842,36.60130718954248
2015,Rajasthan Royals,17.482517482517483,46.15384615384615,29.37062937062937,6.993006993006993
2015,Royal Challengers Bengaluru,20.512820512820515,46.794871794871796,23.71794871794872,8.974358974358974
2015,Sunrisers Hyderabad,26.35135135135135,20.27027027027027,31.756756756756758,21.62162162162162
2016,Delhi Capitals,37.58389261744966,19.463087248322147,36.91275167785235,6.040268456375839
2016,Gujarat Lions,15.789473684210526,18.128654970760234,39.1812865497076,26.900584795321638
2016,Kolkata Knight Riders,16.455696202531644,27.848101265822784,27.21518987341772,28.481012658227847
2016,Mumbai Indians,10.526315789473685,43.421052631578945,33.55263157894737,12.5
2016,Punjab Kings,7.894736842105263,43.421052631578945,19.736842105263158,28.94736842105263
2016,Rising Pune Supergiant,21.232876712328768,33.56164383561644,36.3013698630137,8.904109589041095
2016,Royal Challengers Bengaluru,19.27710843373494,34.33734939759036,33.13253012048193,13.25301204819277
2016,Sunrisers Hyderabad,21.910112359550563,54.49438202247191,5.617977528089888,17.97752808988764
2017,Delhi Capitals,11.842105263157896,53.28947368421053,20.394736842105264,14.473684210526315
2017,Gujarat Lions,17.880794701986755,21.192052980132452,30.4635761589404,30.4635761589404
2017,Kolkata Knight Riders,26.94610778443114,24.550898203592816,35.32934131736527,13.173652694610778
2017,Mumbai Indians,24.456521739130434,38.04347826086956,19.565217391304348,17.934782608695652
2017,Punjab Kings,20.689655172413794,62.06896551724138,4.827586206896552,12.413793103448276
2017,Rising Pune Supergiant,25.294117647058822,3.5294117647058822,51.1764705882353,20.0
2017,Royal Challengers Bengaluru,4.964539007092198,37.5886524822695,31.914893617021278,25.53191489361702
2017,Sunrisers Hyderabad,43.97163120567376,23.404255319148938,32.6241134751773,0.0
2018,Chennai Super Kings,27.906976744186046,30.232558139534884,32.55813953488372,9.30232558139535
2018,Delhi Capitals,25.827814569536425,42.384105960264904,11.258278145695364,20.52980132450331
2018,Kolkata Knight Riders,26.74418604651163,28.488372093023255,35.46511627906977,9.30232558139535
2018,Mumbai Indians,8.666666666666666,32.0,41.333333333333336,18.0
2018,Punjab Kings,18.0,39.333333333333336,28.0,14.666666666666666
2018,Rajasthan Royals,9.937888198757763,39.130434782608695,22.36024844720497,28.571428571428573
2018,Royal Challengers Bengaluru,16.556291390728475,13.245033112582782,45.6953642384106,24.503311258278146
2018,Sunrisers Hyderabad,25.84269662921348,33.70786516853933,22.471910112359552,17.97752808988764
2019,Chennai Super Kings,23.756906077348066,43.646408839779006,22.099447513812155,10.497237569060774
2019,Delhi Capitals,9.142857142857142,33.714285714285715,28.571428571428573,28.571428571428573
2019,Kolkata Knight Riders,17.80821917808219,55.47945205479452,7.534246575342466,19.17808219178082
2019,Mumbai Indians,14.534883720930232,39.53488372093023,34.30232558139535,11.627906976744185
2019,Punjab Kings,29.530201342281877,52.348993288590606,7.382550335570469,10.738255033557047
