match_id,season,innings,over,ball,batting_team,bowling_team,batter,bowler,phase,wp_before,wp_after,leverage_index,dls_flag
392212,2009,2,1,3,Mumbai Indians,Deccan Chargers,ST Jayasuriya,RP Singh,Powerplay,0.520037029725033,0.499888358590221,0.0201486711348119,False
392212,2009,2,12,2,Mumbai Indians,Deccan Chargers,DJ Bravo,RJ Harris,Middle,0.6616544475903854,0.6519787741703491,0.0096756734200362,False
392213,2009,2,3,5,Rajasthan Royals,Royal Challengers Bengaluru,NV Ojha,JH Kallis,Powerplay,0.5984404269145118,0.6091094615405039,0.0106690346259921,False
392213,2009,2,12,4,Rajasthan Royals,Royal Challengers Bengaluru,NV Ojha,R Vinay Kumar,Middle,0.9066819248317858,0.9105805152499308,0.0038985904181449,False
392214,2009,1,5,1,Chennai Super Kings,Punjab Kings,ML Hayden,VRV Singh,Powerplay,0.7216206441516212,0.7332333456618108,0.0116127015101895,True
392214,2009,1,10,4,Chennai Super Kings,Punjab Kings,MS Dhoni,K Goel,Middle,0.7939367348735409,0.8019723404289972,0.0080356055554563,True
392215,2009,1,0,7,Mumbai Indians,Delhi Capitals,JP Duminy,DP Nannes,Powerplay,0.3041328185035922,0.1973487904965511,0.106784028007041,False
392215,2009,2,9,3,Delhi Capitals,Mumbai Indians,AB de Villiers,Harbhajan Singh,Middle,0.5917143381659992,0.6368873744361148,0.0451730362701155,False
392216,2009,1,1,2,Deccan Chargers,Punjab Kings,AC Gilchrist,IK Pathan,Powerplay,0.563692168376075,0.5420008875256099,0.0216912808504651,False
392216,2009,1,15,3,Deccan Chargers,Punjab Kings,A Symonds,IK Pathan,Death,0.6558910471527667,0.6822193579733915,0.0263283108206248,False
392217,2009,1,3,1,Rajasthan Royals,Chennai Super Kings,GC Smith,S Tyagi,Powerplay,0.3870777521508868,0.3951008718658839,0.008023119714997,False
392217,2009,1,19,5,Rajasthan Royals,Chennai Super Kings,SM Harwood,JA Morkel,Death,0.4685512481967767,0.4759761901863539,0.0074249419895772,False
392217,2009,2,17,2,Chennai Super Kings,Rajasthan Royals,S Badrinath,A Singh,Death,0.9050944438101164,0.9183078466347212,0.0132134028246049,False
392217,2009,2,17,6,Chennai Super Kings,Rajasthan Royals,S Badrinath,A Singh,Death,0.9536971964529896,0.973479727016622,0.0197825305636323,False
392218,2009,2,2,5,Royal Challengers Bengaluru,Mumbai Indians,V Kohli,DS Kulkarni,Powerplay,0.6445309835533745,0.6456940784350558,0.0011630948816813,False
392219,2009,1,13,3,Kolkata Knight Riders,Delhi Capitals,SC Ganguly,A Mishra,Middle,0.2142369396048434,0.2383081590919854,0.024071219487142,False
392219,2009,2,5,5,Delhi Capitals,Kolkata Knight Riders,G Gambhir,BJ Hodge,Powerplay,0.8617544829916223,0.85724704777193,0.0045074352196923,False
392219,2009,2,8,6,Delhi Capitals,Kolkata Knight Riders,AB de Villiers,I Sharma,Middle,0.8053872427837262,0.8096273044458253,0.0042400616620991,False
392221,2009,1,6,2,Kolkata Knight Riders,Royal Challengers Bengaluru,BB McCullum,JD Ryder,Middle,0.4714198202990315,0.507035321306079,0.0356155010070474,False
392222,2009,1,7,2,Punjab Kings,Mumbai Indians,KC Sangakkara,Harbhajan Singh,Middle,0.5351475632938766,0.5306128912827965,0.00453467201108,False
392224,2009,1,5,4,Chennai Super Kings,Royal Challengers Bengaluru,SK Raina,JH Kallis,Powerplay,0.7083213471997029,0.5876965939710735,0.1206247532286293,False
